word,mean_supportive_with_word,mean_supportive_without_word,difference,p_value,word_count
bank,1.0,0.20148632757430426,0.7985136724256957,2.337414790505841e-53,2
beginning,0.8333333333333333,0.20488768811852198,0.6284456452148113,0.15779461119433952,2
separate,0.75,0.2065883683906308,0.5434116316093692,0.27157159015407395,2
biological,0.75,0.2065883683906308,0.5434116316093692,0.27157159015407395,2
twice,0.75,0.2065883683906308,0.5434116316093692,0.27157159015407395,2
lie,0.75,0.20658836839063083,0.5434116316093691,0.271571590154074,2
emotion,0.75,0.20658836839063083,0.5434116316093691,0.271571590154074,2
usual,0.75,0.20658836839063083,0.5434116316093691,0.271571590154074,2
buy,0.75,0.20658836839063083,0.5434116316093691,0.271571590154074,2
effort,0.75,0.20658836839063083,0.5434116316093691,0.271571590154074,2
takes,0.7391304347826088,0.2013223587415876,0.5378080760410211,0.17425000681092076,3
watching,0.6805555555555556,0.1993179219572837,0.4812376335982719,0.0869692780368251,6
growing,0.6785714285714286,0.2080460943381527,0.4705253342332759,0.380250616006315,2
everyday,0.6785714285714286,0.21019089943442232,0.4683805291370063,0.3815958709482481,4
step,0.6666666666666666,0.2030797927321023,0.4635868739345643,0.1050772228171479,5
begin,0.6666666666666666,0.20828904866273967,0.45837761800392696,0.3991705473545411,2
wow,0.6666666666666666,0.2091476986489535,0.45751896801771313,0.399719752491428,4
goodbye,0.65,0.20862918471716144,0.4413708152828386,0.42593303053409926,2
numb,0.65,0.20862918471716144,0.4413708152828386,0.42593303053409926,2
sold,0.6428571428571428,0.2087749573119136,0.4340821855452292,0.4374831220886885,2
picked,0.6428571428571428,0.2087749573119136,0.4340821855452292,0.4374831220886885,2
thats,0.6363636363636364,0.21106116319128398,0.42530247317235237,0.44960071907646393,4
sad,0.5989010989010989,0.1799277435866753,0.4189733553144236,0.03642781365797658,9
13,0.6190476190476191,0.20503626025916458,0.4140113587884545,0.16537053274346047,3
11,0.6212121212121212,0.2092166924475263,0.41199542876459494,0.47269015811402415,2
driven,0.6153846153846153,0.2093356211378836,0.4060489942467317,0.4822040631422732,2
moments,0.611111111111111,0.2052817192675102,0.40582939184360084,0.17801202021732018,3
gain,0.6098484848484849,0.2053207695642924,0.40452771528419246,0.1735286821897092,3
ways,0.608695652173913,0.20947213059116324,0.39922352158274976,0.49313316660174306,2
selfless,0.6071428571428571,0.20950382028567457,0.3976390368571825,0.4956710132548996,2
divorced,0.6071428571428571,0.20950382028567457,0.3976390368571825,0.4956710132548996,2
result,0.5986842105263158,0.20566605639899868,0.3930181541273171,0.18795935235223413,3
words,0.5952380952380952,0.20896360439269426,0.386274490845401,0.5144710862569266,4
majority,0.5952380952380952,0.2097467746102615,0.38549132062783376,0.5151259955798235,2
looking,0.580952380952381,0.19753249233509132,0.3834198886172897,0.04127536362090038,10
shock,0.5769230769230769,0.21012055049424147,0.3668025264288354,0.5449901943811365,2
financially,0.572463768115942,0.20647699791684532,0.3659867701990967,0.24981725099155713,3
30,0.5656565656565656,0.2036321917220013,0.3620243739345643,0.2487686386997149,5
gift,0.5641025641025641,0.20673559185540338,0.35736697224716074,0.2674041050248297,3
apartment,0.5588235294117647,0.20689886096955185,0.3519246684422129,0.27883998302232227,3
seek,0.5451127819548872,0.20732290470533152,0.33778987724955567,0.28669755201179065,3
caused,0.5416666666666666,0.20394784828765786,0.33771881837900875,0.14307575428932015,4
push,0.5371024734982333,0.2109332158702587,0.32616925762797455,0.6090983718474319,2
feeling,0.5210884353741497,0.19506702497181722,0.3260214104023325,0.06364709613574744,18
