word,mean_supportive_with_word,mean_supportive_without_word,difference,p_value,word_count
bank,1.0,0.20148632757430426,0.7985136724256957,2.337414790505841e-53,2
club,1.0,0.20295707807082533,0.7970429219291747,1.2642244983388901e-52,4
beginning,0.8333333333333333,0.20488768811852198,0.6284456452148113,0.15779461119433952,2
biological,0.75,0.2065883683906308,0.5434116316093692,0.27157159015407395,2
separate,0.75,0.2065883683906308,0.5434116316093692,0.27157159015407395,2
twice,0.75,0.2065883683906308,0.5434116316093692,0.27157159015407395,2
lie,0.75,0.20658836839063083,0.5434116316093691,0.271571590154074,2
effort,0.75,0.20658836839063083,0.5434116316093691,0.271571590154074,2
buy,0.75,0.20658836839063083,0.5434116316093691,0.271571590154074,2
usual,0.75,0.20658836839063083,0.5434116316093691,0.271571590154074,2
tldr,0.75,0.20871814538434863,0.5412818546156514,0.2724880352774518,4
gain,0.7272727272727273,0.2053207695642924,0.5219519577084348,0.30421059719242477,4
watching,0.6805555555555556,0.1993179219572837,0.4812376335982719,0.0869692780368251,6
must,0.6785714285714286,0.20799442305791685,0.4705770055135118,0.38018217665916004,6
solution,0.6785714285714286,0.2080460943381527,0.4705253342332759,0.380250616006315,2
growing,0.6785714285714286,0.2080460943381527,0.4705253342332759,0.380250616006315,2
everyday,0.6785714285714286,0.21019089943442232,0.4683805291370063,0.3815958709482481,4
friday,0.6666666666666666,0.20828904866273965,0.45837761800392696,0.3991705473545411,2
begin,0.6666666666666666,0.20828904866273967,0.45837761800392696,0.3991705473545411,2
toward,0.6515151515151515,0.20403210977047798,0.4474830417446735,0.12151833254380666,3
goodbye,0.65,0.20862918471716144,0.4413708152828386,0.42593303053409926,2
numb,0.65,0.20862918471716144,0.4413708152828386,0.42593303053409926,2
picked,0.6428571428571428,0.2087749573119136,0.4340821855452292,0.4374831220886885,2
sold,0.6428571428571428,0.2087749573119136,0.4340821855452292,0.4374831220886885,2
sad,0.5989010989010989,0.1799277435866753,0.4189733553144236,0.03642781365797658,9
13,0.6190476190476191,0.20503626025916458,0.4140113587884545,0.16537053274346047,3
becoming,0.6212121212121212,0.20921669244752628,0.41199542876459494,0.47269015811402415,2
driven,0.6153846153846153,0.2093356211378836,0.4060489942467317,0.4822040631422732,2
divorced,0.6071428571428571,0.20950382028567457,0.3976390368571825,0.4956710132548996,2
selfless,0.6071428571428571,0.20950382028567457,0.3976390368571825,0.4956710132548996,2
favor,0.6,0.20964959288042676,0.39035040711957325,0.5073454061255166,2
majority,0.5952380952380952,0.2097467746102615,0.38549132062783376,0.5151259955798235,2
